Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
Information & Management,Elsevier,806,A*,0378-7206,1872-7530,,1,Information Systems
Information and Organization,Elsevier,806,A*,1471-7727,1873-7919,,1,Information Systems
Information Systems Journal,Wiley-Blackwell Publishing,806,A*,1350-1917,1365-2575,,1,Information Systems
Information Systems Research,The Institute for Operations Research and the Management Sciences (INFORMS),806,A*,1047-7047,1526-5536,http://pubsonline.informs.org/journal/isre,1,Information Systems
Insurance: Mathematics & Economics,Elsevier,1502,A*,0167-6687,1873-5959,,1,
International & Comparative Law Quarterly,Cambridge University Press,180105,A*,0020-5893,1471-6895,,1,
International Economic Review,Wiley-Blackwell Publishing,1402,A*,0020-6598,1468-2354,,1,
International Journal of Hospitality Management,Elsevier,1504,A*,0278-4319,1873-4693,http://www.journals.elsevier.com/international-journal-of-hospitality-management,1,
International Journal of Information Management,Elsevier,806,A*,0268-4012,1873-4707,,1,Information Systems
International Journal of Research in Marketing,Elsevier,1505,A*,0167-8116,1873-8001,,1,
Journal of Accounting and Economics,Elsevier,1501,A*,0165-4101,,http://www.journals.elsevier.com/journal-of-accounting-and-economics,1,
Journal of Accounting Research,Wiley-Blackwell Publishing,1501,A*,0021-8456,1475-679X,,1,
Journal of Applied Econometrics,Wiley-Blackwell Publishing,1403,A*,0883-7252,1099-1255,,1,
Journal of Applied Psychology,American Psychological Association,1503,A*,0021-9010,1939-1854,http://www.apa.org/journals/apl,1,Education
Journal of Banking & Finance,Elsevier,1502,A*,0378-4266,1872-6372,,1,
Journal of Business & Economic Statistics,Taylor & Francis Online,1403,A*,0735-0015,1537-2707,,1,
Journal of Business Finance & Accounting,Wiley-Blackwell Publishing,1501,A*,0306-686X,1468-5957,,1,
Journal of Business Venturing,Elsevier,1503,A*,0883-9026,1873-2003,http://www.journals.elsevier.com/journal-of-business-venturing,1,Education
Journal of Computational and Graphical Statistics,Taylor & Francis Online,104,A*,1061-8600,1537-2715,http://www.tandfonline.com/loi/ucgs20#.V4lxc1fwzBI,1,
Journal of Conflict Resolution,Sage Publications,1503,A*,0022-0027,1552-8766,,1,Education
Journal of Construction Engineering and Management,American Society of Civil Engineers,1504,A*,0733-9364,1943-7862,,1,
Journal of Consumer Psychology,Wiley-Blackwell Publishing,1505,A*,1057-7408,1532-7663,,1,
Journal of Consumer Research,Oxford University Press,1505,A*,0093-5301,1537-5277,http://jcr.oxfordjournals.org/,1,
Journal of Corporate Finance,Elsevier,1502,A*,0929-1199,1872-6313,http://www.journals.elsevier.com/journal-of-corporate-finance/,1,
Journal of Development Economics,Elsevier,1402,A*,0304-3878,1872-6089,http://www.journals.elsevier.com/journal-of-development-economics/,1,
Journal of Econometrics,Elsevier,1403,A*,0304-4076,1872-6895,http://www.journals.elsevier.com/journal-of-econometrics,1,
Journal of Economic Behavior and Organization,Elsevier,1402,A*,0167-2681,1879-1751,,1,
Journal of Economic Dynamics and Control,Elsevier,1402,A*,0165-1889,1879-1743,,1,
Journal of Economic Growth,Springer International Publishing,1402,A*,1381-4338,1573-7020,http://www.springerlink.com/,1,
Journal of Economic Literature,American Economic Association,1402,A*,0002-0515,2328-8175,,1,
Journal of Economic Perspectives,American Economic Association,1402,A*,0895-3309,1944-7965,https://www.aeaweb.org/journals/jep,1,
Journal of Economic Theory,Elsevier,1401,A*,0022-0531,1095-7235,http://www.journals.elsevier.com/journal-of-economic-theory,1,
Journal of Empirical Legal Studies,Wiley-Blackwell Publishing,180105,A*,1740-1453,1740-1461,,1,
Journal of Environmental Economics and Management,Elsevier,1402,A*,0095-0696,1096-0449,,1,
Journal of Experimental Psychology: general,American Psychological Association,1503,A*,0096-3445,1939-2222,http://psycnet.apa.org/index.cfm?fa=browsePA.volumes&jcode=xge,1,Education
Journal of Financial and Quantitative Analysis,Cambridge University Press,1502,A*,0022-1090,1756-6916,,1,
Journal of Financial Econometrics,Oxford University Press,1403,A*,1479-8409,1479-8417,,1,
Journal of Financial Economics,Elsevier,1502,A*,0304-405X,,http://www.journals.elsevier.com/journal-of-financial-economics/,1,
Journal of Financial Intermediation,Elsevier,1502,A*,1042-9573,1096-0473,http://www.journals.elsevier.com/journal-of-financial-intermediation,1,
Journal of Financial Markets,Elsevier,1502,A*,1386-4181,1878-576X,,1,
Journal of Health Economics,Elsevier,1402,A*,0167-6296,1879-1646,,1,
Journal of Human Resources,The University of Wisconsin Press,1402,A*,0022-166X,1548-8004,,1,
Journal of Information Technology,Sage Publications,806,A*,0268-3962,1466-4437,,1,Information Systems
Journal of International Business Studies,Springer International Publishing,1503,A*,0047-2506,1478-6990,http://www.springer.com/business+%26+management/journal/41267,1,Education
Journal of International Economics,Elsevier,1402,A*,0022-1996,1873-0353,http://www.journals.elsevier.com/journal-of-international-economics,1,
Journal of Labor Economics,University of Chicago Press,1402,A*,0734-306X,1537-5307,,1,
Journal of Management,Sage Publications,1503,A*,0149-2063,1557-1211,http://www.sagepub.com/,1,Education
Journal of Management Accounting Research,American Accounting Association,1501,A*,1049-2127,1558-8033,,1,
Journal of Management Information Systems,Taylor & Francis Online,806,A*,0742-1222,1557-928X,http://www.tandfonline.com/loi/mmis20#.V33eQ6KMz3U,1,Information Systems
Journal of Management Studies,Wiley-Blackwell Publishing,1503,A*,0022-2380,1467-6486,,1,Education
Journal of Marketing,Sage Publications ,1505,A*,0022-2429,1547-7185,,1,
Journal of Marketing Research,Sage Publications,1505,A*,0022-2437,1547-7193,,1,
Journal of Monetary Economics,Elsevier,1402,A*,0304-3932,1873-1295,http://www.journals.elsevier.com/journal-of-monetary-economics/,1,
"Journal of Money, Credit and Banking",Wiley-Blackwell Publishing,1402,A*,0022-2879,1538-4616,,1,
Journal of Operations Management,Wiley-Blackwell Publishing,1503,A*,0272-6963,1873-1317,,1,Education
Journal of Organizational Behavior,Wiley-Blackwell Publishing,1503,A*,0894-3796,1099-1379,,1,Education
Journal of Personality and Social Psychology,American Psychological Association,1503,A*,0022-3514,1939-1315,http://www.apa.org/pubs/journals/psp/,1,Education
Journal of Political Economy,The University of Chicago Press,1402,A*,0022-3808,1537-534X,http://www.journals.uchicago.edu/,1,
Journal of Product Innovation Management,Wiley-Blackwell Publishing,1503,A*,0737-6782,1540-5885,,1,Education
Journal of Public Economics,Elsevier,1402,A*,0047-2727,1879-2316,,1,
Journal of Retailing,Elsevier,1505,A*,0022-4359,1873-3271,,1,
Journal of Risk and Uncertainty,Springer International Publishing,1401,A*,0895-5646,1573-0476,,1,
Journal of Service Research,Sage Publications,1505,A*,1094-6705,1552-7379,http://jsr.sagepub.com/,1,
Journal of Strategic Information Systems,Elsevier,806,A*,0963-8687,1873-1198,,1,Information Systems
Journal of Sustainable Tourism,Taylor & Francis Online,1506,A*,0966-9582,1747-7646,http://www.tandfonline.com/toc/rsus20/current,1,
Journal of the Academy of Marketing Science,Springer International Publishing,1505,A*,0092-0703,1552-7824,http://www.springerlink.com/,1,
Journal of the American Statistical Association,Taylor & Francis Online,104,A*,0162-1459,1537-274X,,1,
Journal of the Association for Information Science and Technology,Wiley-Blackwell Publishing,806,A*,1532-2882,1532-2890,,1,Information Systems
Journal of the Association for Information Systems,Association for Information Systems (AIS),806,A*,1536-9323,1558-3457,http://aisel.aisnet.org/jais/,1,Information Systems
Journal of the European Economic Association,Oxford University Press,1402,A*,1542-4766,1542-4774,,1,
"Journal of the Royal Statistical Society, Series B (Statistical Methodology)",Wiley-Blackwell Publishing,104,A*,,1467-9868,,1,
Journal of Travel Research,Sage Publications,1506,A*,0047-2875,1552-6763,http://jtr.sagepub.com/,1,
Journal of Urban Economics,Elsevier,1402,A*,0094-1190,1095-9068,http://www.journals.elsevier.com/journal-of-urban-economics,1,
Journal of Vocational Behavior,Elsevier,1503,A*,0001-8791,1095-9084,,1,Education
Journal of World Business,Elsevier,1503,A*,1090-9516,1878-5573,,1,Education
Law Quarterly Review,Sweet & Maxwell,180105,A*,0023-933X,,http://www.sweetandmaxwell.co.uk/Catalogue/ProductDetails.aspx?recordid=473,1,
Management Accounting Research,Elsevier,1501,A*,1044-5005,1096-1224,http://www.journals.elsevier.com/management-accounting-research,1,
Management Science,INFORMS,1503,A*,0025-1909,1526-5501,,1,Education
Manufacturing and Service Operations Management,INFORMS,1503,A*,1523-4614,1526-5498,,1,Education
Marketing Science,INFORMS,1505,A*,0732-2399,1526-548X,,1,
Melbourne University Law Review,Melbourne University Law Review Association,180105,A*,0025-8938,1839-3810,,1,
MIS Quarterly,University of Minnesota Press,806,A*,0276-7783,2162-9730,,1,Information Systems
Operations Research,INFORMS,1503,A*,0030-364X,1526-5463,,1,Education
Organization Science,Informs,1503,A*,1047-7039,1526-5455,,1,Education
Organization Studies,Sage Publications,1503,A*,0170-8406,1741-3044,http://oss.sagepub.com/,1,Education
Organizational Behavior and Human Decision Processes,Elsevier,1503,A*,0749-5978,1095-9920,http://www.journals.elsevier.com/organizational-behavior-and-human-decision-processes/,1,Education
Organizational Research Methods,Sage Publications,1503,A*,1094-4281,1552-7425,http://www.sagepub.com/,1,Education
Oxford University Commonwealth Law Journal,Taylor & Francis Online,180105,A*,1472-9342,1757-8469,,1,
Personality and Social Psychology Bulletin,Sage Publications,1503,A*,0146-1672,1552-7433,,1,Education
Personality and Social Psychology Review,Sage Publications,1503,A*,1088-8683,1532-7957,http://psr.sagepub.com/,1,Education
Personnel Psychology,Wiley-Blackwell Publishing,1503,A*,0031-5826,1744-6570,,1,Education
Probability Theory and Related Fields,Springer International Publishing,104,A*,0178-8051,1432-2064,http://www.springerlink.com/,1,
Production and Operations Management,Wiley-Blackwell Publishing,1503,A*,1059-1478,1937-5956,,1,Education
Psychological Bulletin,American Psychological Association,1503,A*,0033-2909,1939-1455,http://www.apa.org/pubs/journals/bul/,1,Education
Psychological Review,American Psychological Association,1503,A*,0033-295X,1939-1471,http://www.apa.org/pubs/journals/rev/,1,Education
Psychological Science,Sage Publications,1503,A*,0956-7976,1467-9280,http://pss.sagepub.com/,1,Education
Quantitative Economics,Wiley-Blackwell Publishing,1403,A*,1759-7323,1759-7331,,1,
RAND Journal of Economics,Wiley-Blackwell Publishing,1402,A*,0741-6261,1756-2171,,1,
Regional Studies,Taylor & Francis Online,1503,A*,0034-3404,1360-0591,http://www.tandfonline.com/cres,1,Education
Research Policy,Elsevier,1503,A*,0048-7333,1873-7625,,1,Education
Review of Accounting Studies,Springer International Publishing,1501,A*,1380-6653,1573-7136,http://www.springer.com/business+%26+management/accounting/journal/11142?detailsPage=editorialBoard,1,
Review of Asset Pricing Studies,Oxford University Press,1502,A*,2045-9920,2045-9939,,1,
Review of Corporate Finance Studies,Oxford University Press,1502,A*,2046-9128,2046-9136,,1,
Review of Economic Dynamics,Elsevier,1402,A*,1094-2025,1096-6099,http://www.journals.elsevier.com/review-of-economic-dynamics,1,
Review of Finance,Oxford University Press,1502,A*,1572-3097,1573-692X,,1,
Sociology,Sage Publications,1503,A*,0038-0385,1469-8684,http://soc.sagepub.com/,1,Education
Strategic Management Journal,Wiley-Blackwell Publishing,1503,A*,0143-2095,1097-0266,,1,Education
The Accounting Review,American Accounting Association,1501,A*,0001-4826,1558-7967,http://aaajournals.org/loi/accr,1,
The American Economic Review,American Economic Association,1402,A*,0002-8282,0065-812X,http://www.aeaweb.org/aer/index.php,1,
The Economic Journal,Wiley-Blackwell Publishing,1402,A*,0013-0133,1468-0297,,1,
The European Accounting Review,Taylor & Francis Online,1501,A*,0963-8180,1468-4497,http://www.tandfonline.com/rear,1,
The Journal of Economic History,Cambridge University Press,1402,A*,0022-0507,1471-6372,http://journals.cambridge.org/,1,
The Journal of Finance,American Finance Association,1502,A*,0022-1082,1540-6261,http://www.blackwellpublishing.com/,1,
The Journal of Law and Economics,University of Chicago Law School,1402,A*,0022-2186,1537-5285,http://www.journals.uchicago.edu/journals/jle/about,1,
The Leadership Quarterly,Elsevier,1503,A*,1048-9843,1873-3409,http://www.journals.elsevier.com/the-leadership-quarterly/,1,Education
The Modern Law Review,Wiley-Blackwell Publishing,180105,A*,0026-7961,1468-2230,,1,
The Quarterly Journal of Economics,MIT Press,1402,A*,0033-5533,1531-4650,http://www.mitpressjournals.org/loi/qjec,1,
The Review of Economic Studies,Oxford University Press,1402,A*,0034-6527,1467-937X,http://restud.oxfordjournals.org/,1,
The Review of Economics and Statistics,The MIT Press,1402,A*,0034-6535,1530-9142,http://www.mitpressjournals.org/loi/rest,1,
