Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
Meditari Accountancy Research,Emerald Group Publishing,1501,A,2049-372X,2049-3738,,2,
Melbourne Journal of International Law,The University of Melbourne,180105,A,1444-8602,1444-8610,http://www.austlii.edu.au/au/journals/MelbJIL/,2,
MIS Quarterly Executive,"Kelley School of Business, Department of Information Systems, Indiana University",806,A,1540-1960,1540-1979,,2,Information Systems
MIT Sloan Management Review,MIT Press,1503,A,1532-9194,1532-8937,,2,Education
Monash University Law Review,Monash University,180105,A,0311-3140,,http://www.heinonline.org/,2,
Motivation and Emotion,Springer International Publishing,1503,A,0146-7239,1573-6644,http://www.springerlink.com/,2,Education
Multivariate Behavioral Research,Taylor & Francis Online,1503,A,0027-3171,1532-7906,http://www.tandfonline.com/hmbr,2,Education
National Tax Journal,National Tax Association,180125,A,0028-0283,1944-7477,,2,
NBER Macroeconomics Annual,University of Chicago Press,1401,A,0889-3365,1537-2642,,2,
New Political Economy,Taylor & Francis Online,1402,A,1356-3467,1469-9923,http://www.tandfonline.com/cnpe,2,
"New Technology, Work & Employment",Wiley-Blackwell Publishing,1503,A,0268-1072,1468-005X,,2,Education
New Zealand Journal of Taxation Law and Policy,Thomson Reuters,180125,A,1322-4417,,http://www.thomsonreuters.co.nz/new-zealand-journal-of-taxation-law-and-policy/productdetail/121315,2,
New Zealand Universities Law Review,Thomson Reuters,180105,A,0549-0618,,,2,
Nonprofit and Voluntary Sector Quarterly,Sage Publications,1503,A,0899-7640,1552-7395,http://nvs.sagepub.com/,2,Education
North American Actuarial Journal,Taylor & Francis Online,1502,A,1092-0277,2325-0453,,2,
Omega,Elsevier,1503,A,0305-0483,1873-5274,,2,Education
Operations Research Letters,Elsevier,1503,A,0167-6377,1872-7468,http://www.journals.elsevier.com/operations-research-letters,2,Education
Oregon Law Review,University of Oregon,180105,A,0196-2043,,http://www.heinonline.org/,2,
Organization & Environment,Sage Publications,1503,A,1086-0266,1552-7417,,2,Education
"Organization: the critical journal of organization, theory and society",Sage Publications,1503,A,1350-5084,1461-7323,http://org.sagepub.com/,2,Education
Organizational Dynamics,Elsevier,1503,A,0090-2616,1873-3530,http://www.journals.elsevier.com/organizational-dynamics,2,Education
Organizational Psychology Review,Sage Publications,1503,A,2041-3866,2041-3874,,2,Education
Osgoode Hall Law Journal,Osgoode Hall Law School of York University,180105,A,0030-6185,,http://digitalcommons.osgoode.yorku.ca/ohlj/,2,
Oxford Bulletin of Economics and Statistics,Wiley-Blackwell Publishing,1403,A,0305-9049,1468-0084,,2,
Oxford Economic Papers,Oxford University Press,1402,A,0030-7653,1464-3812,http://oep.oxfordjournals.org/,2,
Oxford Journal of Legal Studies,Oxford University Press,180105,A,0143-6503,1464-3820,http://ojls.oxfordjournals.org/,2,
Oxford Review of Economic Policy,Oxford University Press,1402,A,0266-903X,1460-2121,http://oxrep.oxfordjournals.org/,2,
Pacific-Basin Finance Journal,Elsevier,1502,A,0927-538X,1879-0585,,2,
Papers in Regional Science,Wiley-Blackwell Publishing,1402,A,1056-8190,1435-5957,,2,
Personal and Ubiquitous Computing,Springer International Publishing,806,A,1617-4909,1617-4917,,2,Information Systems
Personality and Individual Differences,Elsevier,1503,A,0191-8869,1873-3549,http://www.journals.elsevier.com/personality-and-individual-differences/,2,Education
Personnel Review,Emerald Group Publishing,1503,A,0048-3486,1758-6933,http://www.emeraldinsight.com/loi/pr,2,Education
PharmacoEconomics,Springer International Publishing,1499,A,1170-7690,1179-2027,,2,
Philosophy & Public Affairs,Wiley-Blackwell Publishing,1503,A,0048-3915,1088-4963,,2,Education
"Poetics: Journal of Empirical Research on Culture, Media and the Arts",Elsevier,1504,A,0304-422X,1872-7514,,2,
Policy and Politics: an international journal,Policy Press,1599,A,0305-5736,1470-8442,http://policypress.co.uk/journals/policy-and-politics,2,
Political Communication,Taylor & Francis Online,1599,A,1058-4609,1091-7675,,2,
Political Science Quarterly,Academy of Political Science,1599,A,,1538-165X,,2,
Politics and Gender,Cambridge University Press,1599,A,1743-923X,1743-9248,,2,
Population and Development Review,Wiley-Blackwell Publishing,1503,A,0098-7921,1728-4457,,2,Education
Population and Environment,Springer International Publishing,1599,A,0199-0039,1573-7810,http://www.springerlink.com/,2,
Population Bulletin,Population Reference Bureau,1503,A,0032-468X,,http://www.proquest.co.uk/en-UK/,2,Education
Population Research and Policy Review,Springer International Publishing,1503,A,0167-5923,1573-7829,,2,Education
Population Studies: a journal of demography,Taylor & Francis Online,1503,A,0032-4728,1477-4747,http://www.tandfonline.com/rpst,2,Education
"Population, Space and Place",Wiley-Blackwell Publishing,1503,A,1544-8444,1544-8452,,2,Education
Production Planning and Control,Taylor & Francis Online,1503,A,0953-7287,1366-5871,,2,Education
Psychological Research,Springer International Publishing,1503,A,0340-0727,1430-2772,,2,Education
Psychology & Marketing,Wiley-Blackwell Publishing,1505,A,0742-6046,1520-6793,,2,
Psychology of Women Quarterly,Sage Publications,1503,A,0361-6843,1471-6402,http://pwq.sagepub.com/,2,Education
Public Administration and Development,Wiley-Blackwell Publishing,1503,A,0271-2075,1099-162X,,2,Education
Public Administration Quarterly,Southern Public Administration Education Foundation Inc,1503,A,0734-9149,2327-4433,,2,Education
Public Administration Review,Wiley-Blackwell Publishing,1503,A,0033-3352,1540-6210,,2,Education
Public Administration: An international journal,Wiley-Blackwell Publishing,1503,A,0033-3298,1467-9299,,2,Education
Public Choice,Springer International Publishing,1402,A,0048-5829,1573-7101,,2,
Public Law: the constitutional and administrative law of the Commonwealth,Sweet & Maxwell,180105,A,0033-3565,,http://www.sweetandmaxwell.co.uk/Catalogue/ProductDetails.aspx?recordid=469,2,
Public Management Review,Taylor & Francis Online,1503,A,1471-9037,1471-9045,http://www.tandfonline.com/rpxm,2,Education
Public Opinion Quarterly,Oxford University Press,1503,A,0033-362X,1537-5331,http://poq.oxfordjournals.org/,2,Education
Public Relations Review,Elsevier,1505,A,0363-8111,1873-4537,http://www.journals.elsevier.com/public-relations-review,2,
Qualitative Research in Accounting and Management,Emerald Group Publishing,1501,A,1176-6093,1758-7654,,2,
Quality of Life Research,Springer International Publishing,1503,A,0962-9343,1573-2649,http://www.springerlink.com/,2,Education
Quantitative Finance,Taylor & Francis Online,1502,A,1469-7688,1469-7696,http://www.tandfonline.com/rquf,2,
Quantitative Marketing and Economics,Springer International Publishing,1505,A,1570-7156,1573-711X,http://www.springerlink.com/,2,
Quarterly Journal of Experimental Psychology ,Taylor & Francis Online,1503,A,1747-0218,1747-0226,,2,Education
Quarterly Journal of Finance,World Scientific Publishing,1502,A,2010-1392,2010-1406,,2,
R&D Management,Wiley-Blackwell Publishing,1503,A,0033-6807,1467-9310,,2,Education
Real Estate Economics,Wiley-Blackwell Publishing,1502,A,1080-8620,1540-6229,,2,
Regional Science and Urban Economics,Elsevier,1402,A,0166-0462,,http://www.journals.elsevier.com/regional-science-and-urban-economics,2,
"Regional Studies, Regional Science",Taylor & Francis Online,1503,A,,2168-1376,,2,Education
Regulation and Governance,Wiley-Blackwell Publishing,180105,A,,1748-5991,,2,
Reliability Engineering & System Safety,Elsevier,1503,A,0951-8320,1879-0836,,2,Education
Research in Organizational Behavior,Elsevier,1503,A,0191-3085,,,2,Education
Research in the Sociology of Organizations,Emerald Group Publishing,1503,A,0733-558X,,,2,Education
Research Technology Management: international journal of research management,Taylor Francis Online - Industrial Research Institute,1503,A,0895-6308,1930-0166,http://www.tandfonline.com/loi/urtm20?open=59&repitition=0,2,Education
Resource and Energy Economics,Elsevier,1402,A,0928-7655,,http://www.journals.elsevier.com/resource-and-energy-economics,2,
Restitution Law Review,Marenex Press,180105,A,1351-170X,,,2,
Review of Economics of the Household,Springer International Publishing,1402,A,1569-5239,1573-7152,,2,
Review of Environmental Economics and Policy,Oxford University Press,1402,A,1750-6816,1750-6824,http://reep.oxfordjournals.org/,2,
Review of Income and Wealth,Wiley-Blackwell Publishing,1402,A,,1475-4991,,2,
Review of Industrial Organization,Springer International Publishing,1402,A,0889-938X,1573-7160,http://www.springerlink.com/,2,
Review of International Economics,Wiley-Blackwell Publishing,1402,A,0965-7576,1467-9396,,2,
Review of International Political Economy,Taylor & Francis Online,1402,A,0969-2290,1466-4526,http://www.tandfonline.com/rrip,2,
Safety Science,Elsevier,1503,A,0925-7535,,,2,Education
Scandinavian Actuarial Journal,Taylor & Francis Online,1502,A,0346-1238,1651-2030,http://www.tandfonline.com/sact,2,
Scandinavian Journal of Economics,Wiley-Blackwell Publishing,1402,A,0347-0520,1467-9442,,2,
Scandinavian Journal of Hospitality and Tourism,Taylor & Francis Online,1506,A,1502-2250,1502-2269,,2,
Scandinavian Journal of Information Systems,University of Aalborg,806,A,0905-0167,,http://iris.cs.aau.dk/,2,Information Systems
Scandinavian Journal of Statistics,Wiley-Blackwell Publishing,104,A,,1467-9469,,2,
Science Communication,Sage Publications,1503,A,1075-5470,1552-8545,,2,Education
"Science, Technology & Human Values",Sage Publications,1503,A,0162-2439,1552-8251,,2,Education
Scientometrics,Springer International Publishing,1503,A,0138-9130,1588-2861,,2,Education
Scottish Journal of Political Economy,Wiley-Blackwell Publishing,1402,A,0036-9292,1467-9485,,2,
Security Dialogue,Sage Publications,1503,A,0967-0106,1460-3640,http://sdi.sagepub.com/,2,Education
Sex Roles,Springer International Publishing,1503,A,0360-0025,1573-2762,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/11199,2,Education
SIAM Journal on Applied Mathematics,SIAM Publications Online,1502,A,0036-1399,1095-712X,http://www.siam.org/journals/siap.php,2,
Singapore Journal of Legal Studies,National University of Singapore,180105,A,0218-2173,,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=0218-2173,2,
Small Business Economics,Springer International Publishing,1503,A,0921-898X,1573-0913,,2,Education
Small Group Research,Sage Publications,1503,A,1046-4964,1552-8278,,2,Education
Social Choice and Welfare,Springer International Publishing,1402,A,0176-1714,1432-217X,http://www.springerlink.com/,2,
Social Forces,Oxford University Press,1503,A,0037-7732,1534-7605,,2,Education
Social Indicators Research,Springer International Publishing,1503,A,0303-8300,1573-0921,http://springerlink.metapress.com/openurl.asp?genre=journal&issn=0303-8300,2,Education
Social Policy & Administration,Wiley-Blackwell Publishing,1503,A,0144-5596,1467-9515,,2,Education
Social Problems,Oxford University Press,1503,A,0037-7791,1533-8533,http://www.ucpressjournals.com/journal.asp?j=sp,2,Education
Socio-Economic Review,Oxford University Press,1503,A,1475-1461,1475-147X,http://ser.oxfordjournals.org/,2,Education
Sociological Inquiry,Wiley-Blackwell Publishing,1503,A,,1475-682X,,2,Education
Sociological Methodology,Sage Publications,1503,A,0081-1750,1467-9531,http://smx.sagepub.com/,2,Education
Sociological Methods & Research,Sage Publications,1503,A,0049-1241,1552-8294,,2,Education
Sociological Theory,American Sociological Association,1503,A,0736-2751,1467-9558,http://www.asanet.org/research-and-publications/journals/sociological-theory,2,Education
Sociology of Sport Journal,"Human Kinetics Publishers, Inc.",1504,A,0741-1235,1543-2785,http://hk.humankinetics.com/,2,
Southern Economic Journal,Wiley-Blackwell Publishing,1402,A,0038-4038,2325-8012,,2,
Sport Management Review,Elsevier,1504,A,1441-3523,1839-2083,,2,
Stanford Journal of International Law,Stanford University Press,180105,A,0731-5082,,,2,
"Stanford Journal of Law, Business and Finance",Stanford University Press,180105,A,1078-8794,,,2,
Statistica Neerlandica,Wiley-Blackwell Publishing,104,A,0039-0402,1467-9574,,2,
Statistica Sinica,Statistica Sinica,104,A,1017-0405,,http://www3.stat.sinica.edu.tw/statistica/,2,
Statistical Science,Institute of Mathematical Statistics,104,A,0883-4237,,,2,
Statistics and Computing,Springer International Publishing,104,A,0960-3174,1573-1375,,2,
Statistics in Medicine,Wiley-Blackwell Publishing,104,A,0277-6715,1097-0258,,2,
Statute Law Review,Oxford University Press,180105,A,0144-3593,1464-3863,http://slr.oxfordjournals.org/,2,
Stochastic Processes and their Applications,Elsevier,104,A,0304-4149,1879-209X,,2,
Strategic Entrepreneurship Journal,Wiley-Blackwell Publishing,1503,A,1932-4391,1932-443X,,2,Education
Strategic Organization,Sage Publications,1503,A,1476-1270,1741-315X,http://soq.sagepub.com/,2,Education
Strategy Science,INFORMS,1503,A,2333-2050,2333-2077,,2,Education
Stress and Health,Wiley-Blackwell Publishing,1503,A,1532-3005,1532-2998,,2,Education
Structural Equation Modelling,Taylor & Francis Online,1503,A,1070-5511,1532-8007,http://www.tandfonline.com/hsem,2,Education
Studies in Comparative International Development,Springer International Publishing,1503,A,0039-3606,1936-6167,,2,Education
Studies in Higher Education,Taylor & Francis Online,1503,A,0307-5079,1470-174X,http://www.tandfonline.com/cshe,2,Education
Studies in Nonlinear Dynamics & Econometrics,De Gruyter ,1403,A,1081-1826,1558-3708,,2,
Supply Chain Management: an international journal,Emerald Group Publishing,1503,A,1359-8546,1758-6852,http://www.emeraldinsight.com/journal/scm,2,Education
System Dynamics Review,Wiley-Blackwell Publishing,1503,A,,1099-1727,,2,Education
Systems Research and Behavioral Science,Wiley-Blackwell Publishing,1503,A,1092-7026,1099-1743,,2,Education
Tax Law Review,New York University School of Law,180125,A,0040-0041,,http://www.law.nyu.edu/tax/taxlawreview,2,
Technological Forecasting and Social Change,Elsevier,1503,A,0040-1625,1873-5509,http://www.journals.elsevier.com/technological-forecasting-and-social-change,2,Education
Technometrics,American Statistical Association,1503,A,0040-1706,1537-2723,http://www.amstat.org/publications/tech.cfm,2,Education
Technovation,Elsevier,1503,A,0166-4972,1879-2383,http://www.journals.elsevier.com/technovation,2,Education
Texas International Law Journal,University of Texas School of Law,180105,A,0163-7479,,https://law.utexas.edu/publications/journals/texas-international-law-journal/,2,
The Australian Journal of Agricultural and Resource Economics,Wiley-Blackwell Publishing,1402,A,1364-985X,1467-8489,,2,
The BE Journal of Economic Analysis and Policy,De Gruyter,1401,A,1935-1682,1555-0494,http://www.degruyter.com/view/j/bejeap,2,
The BE Journal of Macroeconomics,De Gruyter,1401,A,1935-1690,,http://www.degruyter.com/view/j/bejm,2,
The BE Journal of Theoretical Economics,De Gruyter,1401,A,1935-1704,,http://www.degruyter.com/view/j/bejte.2011.11.issue-1/1935-1704.1756/1935-1704.1756.xml,2,
The Business Lawyer,American Bar Association,180105,A,0007-6899,,http://www.americanbar.org/publications/the_business_lawyer.html,2,
The Economic History Review,Wiley-Blackwell Publishing,1402,A,0013-0117,1468-0289,,2,
The Economic Record,Wiley-Blackwell Publishing,1402,A,0013-0249,1475-4932,,2,
The Economics of Transition,Wiley-Blackwell Publishing,1402,A,0967-0750,1468-0351,,2,
The Electronic Journal of Statistics,The Institute of Mathematical Statistics and the Bernoulli Society,104,A,1935-7524,,https://projecteuclid.org/euclid.ejs,2,
The European Journal of Finance,Taylor & Francis Online,1502,A,1351-847X,1466-4364,,2,
The Florida Tax Review,University of Florida Press,180125,A,1066-3487,,,2,
The Information Society,Taylor & Francis Online,806,A,0197-2243,1087-6537,http://www.tandfonline.com/utis,2,Information Systems
The International Journal of Accounting,World Scientific Publishing,1501,A,1094-4060,2213-3933,,2,
The International Journal of Logistics Management,Emerald Group Publishing,1503,A,0957-4093,1758-6550,http://www.emeraldinsight.com/journal/ijlm,2,Education
The Journal of Derivatives,Pageant Media,1502,A,1074-1240,,,2,
The Journal of Economic Inequality,Springer International Publishing,1402,A,1569-1721,1573-8701,,2,
The Journal of Fixed Income,Pageant Media,1502,A,1059-8596,,,2,
The Journal of Futures Markets,Wiley-Blackwell Publishing,1502,A,0270-7314,1096-9934,,2,
The Journal of Industrial Economics,Wiley-Blackwell Publishing,1402,A,0022-1821,1467-6451,,2,
The Journal of Portfolio Management,Pageant Media,1502,A,0095-4918,,,2,
The Pacific Review,Taylor & Francis Online,1503,A,0951-2748,1470-1332,http://www.tandfonline.com/toc/rpre20/current,2,Education
The Sociological Review,"John Wiley & Sons, Inc.",1503,A,0038-0261,1467-954X,http://www.wiley.com/,2,Education
The World Bank Economic Review,Oxford University Press,1402,A,0258-6770,1564-698X,http://wber.oxfordjournals.org/,2,
The World Economy,Wiley-Blackwell Publishing,1402,A,0378-5920,1467-9701,,2,
Theory and Decision: an international journal for multidisciplinary advances in decision sciences,Springer International Publishing,1401,A,0040-5833,1573-7187,http://www.springerlink.com/,2,
Theory of Probability and its Applications,SIAM Publications Online,104,A,0040-585X,1095-7219,http://epubs.siam.org/,2,
"Theory, Culture and Society",Sage Publications,1503,A,0263-2764,1460-3616,,2,Education
Third World Quarterly,Taylor & Francis Online,1503,A,0413-6597,1360-2241,,2,Education
Tort Law Review,Thomson Reuters,180105,A,1039-3285,,http://sites.thomsonreuters.com.au/journals/category/tort-law-review/,2,
Torts Law Journal,LexisNexis,180105,A,1038-5967,,,2,
Tourism Analysis,Cognizant Communication Corporation,1506,A,1083-5423,1943-3999,https://www.cognizantcommunication.com/journal-titles/tourism-analysis,2,
Tourism Economics,Sage Publications,1506,A,1354-8166,2044-0375,,2,
Tourism Geographies,Taylor & Francis Online,1506,A,1461-6688,1470-1340,http://www.tandfonline.com/rtxg,2,
Tourism Management Perspectives,Elsevier,1506,A,2211-9736,,,2,
Tourism Recreation Research,Taylor & Francis Online,1506,A,0250-8281,2320-0308,http://www.tandfonline.com/rtrr,2,
Transport Policy,Elsevier,1507,A,0967-070X,1879-310X,,2,
Transport Reviews,Taylor & Francis Online,1507,A,0144-1647,1464-5327,http://www.tandfonline.com/ttrv,2,
Transportation,Springer International Publishing,1507,A,0049-4488,1572-9435,http://www.springerlink.com/,2,
Transportation Research Part D: Transport and Environment,Elsevier,1507,A,1361-9209,1879-2340,http://www.journals.elsevier.com/transportation-research-part-d-transport-and-environment,2,
Transportation Research Part F: Traffic Psychology and Behaviour,Elsevier,1507,A,1369-8478,1873-5517,,2,
Transportation Science,The Institute for Operations Research and the Management Sciences (INFORMS),1507,A,0041-1655,1526-5447,http://pubsonline.informs.org/journal/trsc,2,
Tulane Maritime Law Journal,Tulane University Law School,180105,A,1048-3748,,http://www.tulanemaritimejournal.org,2,
University of New South Wales Law Journal,University of New South Wales,180105,A,0313-0096,,http://www.unswlawjournal.unsw.edu.au/,2,
University of Toronto Law Journal,University of Toronto Press,180105,A,0042-0220,1710-1174,https://www.utpjournals.com/University-of-Toronto-Law-Journal.html,2,
Virginia Tax Review,University of Virginia School of Law,180125,A,0735-9004,,,2,
Visitor Studies,Taylor & Francis Online,1506,A,1064-5578,1934-7715,,2,
Water Resources Research,Wiley-Blackwell Publishing,1599,A,0043-1397,1944-7973,,2,
"Work & Stress: An international Journal of Work, Health and Organisations",Taylor & Francis Online,1503,A,0267-8373,1464-5335,http://www.tandfonline.com/twst,2,Education
Work and Occupations,Sage Publications,1503,A,0730-8884,1552-8464,,2,Education
"Work, Employment and Society",Sage Publications,1503,A,0950-0170,1469-8722,http://wes.sagepub.com/,2,Education
World Development,Elsevier,1402,A,0305-750X,1873-5991,,2,
World Politics,Cambridge University Press,1599,A,0043-8871,1086-3338,http://journals.cambridge.org/action/displayJournal?jid=WPO,2,
4OR,Springer Nature,1503,B,1619-4500,1614-2411,https://www.springer.com/journal/10288,3,Education
AACE International Transactions,AACE International,1503,B,1528-7106,1528-7106,,3,Education
Academy of Marketing Studies Journal,Allied Business Academies,1505,B,1095-6298,1528-2678,,3,
Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,1501,B,1745-7718,,,3,
Accounting and the Public Interest,American Accounting Association,1501,B,1530-9320,,,3,
Accounting Educators Journal,Academy of Accounting Educators Inc.,1501,B,1041-0392,,,3,
Accounting Forum,Taylor & Francis Online,1501,B,0155-9982,1467-6303,,3,
Accounting Historians Journal,American Accounting Association,1501,B,0148-4184,,,3,
Accounting History Review,Taylor & Francis Online,1501,B,2155-2851,2155-286X,,3,
Accounting Perspectives,Wiley-Blackwell Publishing,1501,B,1911-382X,1911-3838,,3,
Accounting Research Journal,Emerald Group Publishing,1501,B,1030-9616,,,3,
"Accounting, Economics and Law: A Convivium",De Gruyter ,1501,B,2194-6051,2152-2820,,3,
ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery,1503,B,1049-3301,1558-1195,,3,Education
Active Learning in Higher Education,Sage Publications,1503,B,1469-7874,1741-2625,,3,Education
Administration and Society,Sage Publications,1503,B,0095-3997,1552-3039,,3,Education
Administrative Theory and Praxis,Taylor & Francis Online,1503,B,1084-1806,1949-0461,,3,Education
Advances in Consumer Research,Association for Consumer Research,1505,B,0098-9258,,,3,
Advances in Environmental Accounting and Management,Emerald Group Publishing,1501,B,1479-3598,,,3,
Advances in Taxation,Emerald Group Publishing,180125,B,1058-7497,,,3,
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,1402,B,1993-3738,2521-9871,,3,
Agenda: a journal of policy analysis and reform,Australian National University,1402,B,1322-1833,1447-4735,,3,
Agricultural and Resource Economics Review,Cambridge University Press,1402,B,1068-2805,2372-2614,,3,
Agriculture and Human Values,Springer International Publishing,1402,B,0889-048X,1572-8366,,3,
Air and Space Law,Kluwer Law International,180105,B,0927-3379,1875-8339,,3,
Akron Tax Journal,University of Akron,180125,B,1044-4130,,,3,
Alberta Law Review,University of Alberta,180105,B,0002-4821,,,3,
Algorithmic Finance,IOS Press,1502,B,2158-5571,2157-6203,,3,
Alternative Law Journal,Sage Publications,180105,B,1037-969X,2398-9084,,3,
American Bankruptcy Institute Law Review,St. John's University School of Law,180105,B,1068-0861,,,3,
American Bankruptcy Law Journal,The National Conference of Bankruptcy Judges,180105,B,0027-9048,,,3,
American Behavioral Scientist,Sage Publications,1503,B,0002-7642,1552-3381,,3,Education
American Journal of Economics and Sociology,Wiley-Blackwell Publishing,1402,B,0002-9246,1536-7150,,3,
American Journal of Psychology,University of Illinois Press,1503,B,0002-9556,1939-8298,,3,Education
American Law and Economics Review,Oxford University Press,1402,B,1465-7252,1465-7260,,3,
American Review of Public Administration,Sage Publications,1503,B,0275-0740,1552-3357,,3,Education
AMS Review,Springer International Publishing,1505,B,1869-814X,1869-8182,,3,
Anatolia,Taylor & Francis Online,1506,B,1303-2917,2156-6909,,3,
Annals of Finance,Springer International Publishing,1502,B,1614-2446,1614-2454,,3,
Annals of Leisure Research,Taylor & Francis Online,1504,B,1174-5398,2159-6816,,3,
Annals of Public and Cooperative Economics,"John Wiley & Sons, Inc.",1402,B,1370-4788,1467-8292,,3,
Annals of the American Academy of Political and Social Science,Sage Publications,1599,B,0002-7162,1552-3349,,3,
Annual Review of Economics,Annual Reviews,1402,B,1941-1383,1941-1391,,3,
Annual Review of Financial Economics,Annual Reviews,1402,B,1941-1367,1941-1375,,3,
Annual Review of Resource Economics,Annual Reviews,1402,B,1941-1340,1941-1359,,3,
Antitrust Bulletin,Sage Publications,180105,B,0003-603X,1930-7969,,3,
Applied Cognitive Psychology,Wiley-Blackwell Publishing,1503,B,0888-4080,1099-0720,,3,Education
Applied Economic Perspectives and Policy,Oxford University Press,1402,B,2040-5804,2040-5970,,3,
Applied Economics Letters,Taylor & Francis Online,1402,B,1350-4851,1466-4291,,3,
Applied Economics Quarterly,Duncker & Humblot Gmbh,1402,B,1611-6607,1865-5122,,3,
Applied Finance Letters,Auckland University of Technology,1502,B,2253-5799,2253-5802,,3,
Applied Financial Economics,Taylor & Francis Online,1502,B,0960-3107,1466-4305,,3,
Applied Mathematical Finance,Taylor & Francis Online,1502,B,1350-486X,1466-4313,,3,
Applied Psychological Measurement,Sage Publications,1503,B,0146-6216,1552-3497,,3,Education
Applied Stochastic Models in Business and Industry,Wiley-Blackwell Publishing,104,B,1524-1904,1526-4025,,3,
Appraisal Journal,Appraisal Institute,1504,B,0003-7087,,,3,
Arizona Law Review,"University of Arizona, College of Law",180105,B,0004-153X,,,3,
Asia Europe Journal,Springer International Publishing,1503,B,1610-2932,1612-1031,,3,Education
Asia Pacific Business Review,Taylor & Francis Online,1503,B,1360-2381,1743-792X,,3,Education
Asia Pacific Journal of Economics and Business,Taylor & Francis Online,1402,B,1326-8481,,,3,
Asia Pacific Journal of Finance,Wiley-Blackwell Publishing,1502,B,0219-1466,,,3,
Asia Pacific Public Relations Journal,University of Newcastle,1505,B,1440-4389,1839-8227,,3,
Asia Pacific Sustainable Development Journal,United Nations ESCAP,1499,B,1020-1246,,,3,
Asia-Pacific Journal of Accounting and Economics,Taylor & Francis Online,1501,B,1608-1625,2164-2257,,3,
Asia-Pacific Journal of Financial Studies,Wiley-Blackwell Publishing,1502,B,2041-9945,2041-6156,,3,
Asia-Pacific Journal of Human Resources,Wiley-Blackwell Publishing,1503,B,1038-4111,1744-7941,,3,Education
Asia-Pacific Journal of Risk and Insurance,De Gruyter,1502,B,2194-606X,2153-3792,,3,
Asian Economic Journal,Wiley-Blackwell Publishing,1402,B,1351-3958,1467-8381,,3,
Asian Economic Papers,MIT Press,1402,B,1535-3516,1536-0083,,3,
Asian Journal of Political Science,Taylor & Francis Online,1599,B,0218-5377,1750-7812,,3,
Asian Population Studies,Taylor & Francis Online,1503,B,1744-1730,1744-1749,,3,Education
Asian Review of Accounting,Emerald Group Publishing,1501,B,1321-7348,1758-8863,,3,
Aslib Journal of Information Management ,Emerald Group Publishing,806,B,2050-3806,2050-3814,,3,Information Systems
Australasian Accounting Business and Finance Journal,University of Canberra,1501,B,1834-2000,1834-2019,,3,
Australasian Journal of Natural Resources Law and Policy,University of Wollongong,180105,B,1320-5323,,,3,
Australasian Journal of Regional Studies,Australian and New Zealand Regional Science Association,1599,B,1324-0935,,,3,
Australasian Journal on Ageing,Wiley-Blackwell Publishing,1503,B,1440-6381,1741-6612,,3,Education
Australian Accounting Review,Wiley-Blackwell Publishing,1501,B,1035-6908,1835-2561,,3,
Australian Bulletin of Labour,"National Institute of Labour Studies, Flinders University ",1503,B,0311-6336,0311-6336,,3,Education
Australian Economic History Review,Wiley-Blackwell Publishing,1402,B,0004-8992,1467-8446,,3,
Australian Economic Papers,Wiley-Blackwell Publishing,1402,B,0004-900X,1467-8454,,3,
Australian Journal of Career Development,Sage Publications,1503,B,1038-4162,2200-6974,,3,Education
Australian Journal of Competition and Consumer Law,Thomson Reuters,180105,B,1838-9260,,,3,
Australian Journal of Environmental Education,Cambridge University Press,1503,B,0814-0626,2049-775X,,3,Education
Australian Journal of Labour Economics,Centre for Labour Market Research,1402,B,1328-1143,,,3,
Australian Journal of Psychology,Wiley-Blackwell Publishing,1503,B,0004-9530,1742-9536,,3,Education
Australian Journal of Social Issues,Wiley-Blackwell Publishing,1503,B,0157-6321,0004-9557,,3,Education
Australian Property Law Journal,University of Western Australia,180105,B,1038-5959,,,3,
Australian Psychologist,Wiley-Blackwell Publishing,1503,B,0005-0067,1742-9544,,3,Education
Banking and Finance Law Review,HAB Press Limited,180105,B,0832-8722,,,3,
Basic and Applied Social Psychology,Taylor & Francis Online,1503,B,0197-3533,1532-4834,,3,Education
Benchmarking: An international journal,Emerald Group Publishing,1503,B,1463-5771,1758-4094,,3,Education
Berkeley Business Law Journal,University of California Berkeley School of Law,180105,B,1548-7067,,,3,
Biometrical Journal,Wiley-Blackwell Publishing,104,B,0323-3847,1521-4036,,3,
BMC Medical Informatics and Decision Making,BioMed Central Ltd,806,B,1472-6947,,,3,Information Systems
Bond Law Review,Bond Faculty of Law Review Editorial Committee,180105,B,1033-4505,,,3,
British Actuarial Journal,Cambridge University Press,1502,B,1357-3217,2044-0456,,3,
British Food Journal,Emerald Group Publishing,1505,B,0007-070X,1758-4108,,3,
British Journal of Mathematical and Statistical Psychology,Wiley-Blackwell Publishing,104,B,0007-1102,2044-8317,,3,
Built Environment Project and Asset Management,Emerald Group Publishing,1503,B,2044-124X,2044-1258,,3,Education
Bulletin for International Taxation,International Bureau of Fiscal Documentation,180125,B,1819-5490,2352-9202,,3,
